REPORT 011 - cumulativo docenti CDS AD UD,,,,,12 settembre 2018,,,,,,,
,,,,,,,,,,,,
REPORT 011 - cumulativo docenti CDS AD UD,,,,,,,12 settembre 2018,,,,,
,,,,,,,,,,,,
Anno Accademico:,2017/2018,,,,,,,,,,,
,,,,,,,,,,,,
Dipartimento:,Dipartimento di Ingegneria e Architettura - H3,,,,,,,,,,,
Corso:,"L2 - INGEGNERIA INFORMATICA, ELETTRONICA E DELLE TELECOMUNICAZIONI - (3050)",,,,,,,,,,,
AD:,198491 - Nome insegnamento,,,,,,,,,,,
UD:,500788 - Nome modulo,,,,,,,,,,,
Docente:,376468 - Nome docente,,,,,,,,,,,
,,,,,,,,,,,,
,,,Valori assoluti,,,,,,Valori percentuali,,,
Domanda,,N. risposte,Decisamente No,Più No che Sì,,Più Sì che No,,Decisamente Sì,Decisamente No,Più No che Sì,Più Sì che No,Decisamente Sì
Le conoscenze preliminari possedute sono risultate sufficienti per la comprensione degli argomenti previsti nel programma d'esame?,,15,1,2,,7,,5,6.67%,13.33%,46.67%,33.33%
Il carico di studio dell'insegnamento è proporzionato ai crediti assegnati?,,15,1,5,,7,,2,6.67%,33.33%,46.67%,13.33%
Il materiale didattico (indicato e disponibile) è adeguato per lo studio della materia?,,15,0,1,,8,,6,0.00%,6.67%,53.33%,40.00%
Le modalità di esame sono state definite in modo chiaro?,,15,1,0,,7,,7,6.67%,0.00%,46.67%,46.67%
"Gli orari di svolgimento di lezioni, esercitazioni e altre eventuali attività didattiche sono rispettati?",,15,0,0,,4,,11,0.00%,0.00%,26.67%,73.33%
Il docente stimola/motiva l'interesse verso la disciplina?,,15,1,4,,8,,2,6.67%,26.67%,53.33%,13.33%
Il docente espone gli argomenti in modo chiaro?,,15,1,4,,7,,3,6.67%,26.67%,46.67%,20.00%
"Le attività didattiche integrative (esercitazioni, tutorati,laboratori, etc…), ove esistenti, sono utili all'apprendimento della materia?",,14,1,0,,7,,6,7.14%,0.00%,50.00%,42.86%
L'insegnamento è stato svolto in maniera coerente con quanto dichiarato sul sito Web del corso di studio?,,15,1,0,,8,,6,6.67%,0.00%,53.33%,40.00%
Il docente è reperibile per chiarimenti e spiegazioni?,,15,0,2,,7,,6,0.00%,13.33%,46.67%,40.00%
E' interessato/a agli argomenti trattati nell'insegnamento?,,15,1,5,,6,,3,6.67%,33.33%,40.00%,20.00%
Dipartimento:,Dipartimento di Ingegneria e Architettura - H3,,,,,,,,,,,
Corso:,"L2 - INGEGNERIA INFORMATICA, ELETTRONICA E DELLE TELECOMUNICAZIONI - (3050)",,,,,,,,,,,
AD:,987040 - Nome insegnamento,,,,,,,,,,,
UD:,924209 - Nome modulo,,,,,,,,,,,
Docente:,215831 - Nome docente,,,,,,,,,,,
,,,,,,,,,,,,
,,,Valori assoluti,,,,,,Valori percentuali,,,
Domanda,,N. risposte,Decisamente No,Più No che Sì,,Più Sì che No,,Decisamente Sì,Decisamente No,Più No che Sì,Più Sì che No,Decisamente Sì
Le conoscenze preliminari possedute sono risultate sufficienti per la comprensione degli argomenti previsti nel programma d'esame?,,66,10,22,,21,,13,15.15%,33.33%,31.82%,19.70%
Il carico di studio dell'insegnamento è proporzionato ai crediti assegnati?,,66,3,10,,37,,16,4.55%,15.15%,56.06%,24.24%
Il materiale didattico (indicato e disponibile) è adeguato per lo studio della materia?,,66,7,16,,28,,15,10.61%,24.24%,42.42%,22.73%
Le modalità di esame sono state definite in modo chiaro?,,66,1,5,,32,,28,1.52%,7.58%,48.48%,42.42%
"Gli orari di svolgimento di lezioni, esercitazioni e altre eventuali attività didattiche sono rispettati?",,66,0,3,,31,,32,0.00%,4.55%,46.97%,48.48%
Il docente stimola/motiva l'interesse verso la disciplina?,,66,7,30,,20,,9,10.61%,45.45%,30.30%,13.64%
Il docente espone gli argomenti in modo chiaro?,,66,12,26,,21,,7,18.18%,39.39%,31.82%,10.61%
"Le attività didattiche integrative (esercitazioni, tutorati,laboratori, etc…), ove esistenti, sono utili all'apprendimento della materia?",,66,1,9,,25,,31,1.52%,13.64%,37.88%,46.97%
L'insegnamento è stato svolto in maniera coerente con quanto dichiarato sul sito Web del corso di studio?,,66,1,0,,41,,24,1.52%,0.00%,62.12%,36.36%
Il docente è reperibile per chiarimenti e spiegazioni?,,66,1,7,,39,,19,1.52%,10.61%,59.09%,28.79%
E' interessato/a agli argomenti trattati nell'insegnamento?,,66,1,12,,21,,32,1.52%,18.18%,31.82%,48.48%
Dipartimento:,Dipartimento di Ingegneria e Architettura - H3,,,,,,,,,,,
Corso:,"L2 - INGEGNERIA INFORMATICA, ELETTRONICA E DELLE TELECOMUNICAZIONI - (3050)",,,,,,,,,,,
AD:,968137 - Nome insegnamento,,,,,,,,,,,
UD:,537745 - Nome modulo,,,,,,,,,,,
Docente:,320803 - Nome docente,,,,,,,,,,,
,,,,,,,,,,,,
,,,Valori assoluti,,,,,,Valori percentuali,,,
Domanda,,N. risposte,Decisamente No,Più No che Sì,,Più Sì che No,,Decisamente Sì,Decisamente No,Più No che Sì,Più Sì che No,Decisamente Sì
Le conoscenze preliminari possedute sono risultate sufficienti per la comprensione degli argomenti previsti nel programma d'esame?,,74,9,15,,30,,20,12.16%,20.27%,40.54%,27.03%
Il carico di studio dell'insegnamento è proporzionato ai crediti assegnati?,,74,6,21,,28,,19,8.11%,28.38%,37.84%,25.68%
Il materiale didattico (indicato e disponibile) è adeguato per lo studio della materia?,,74,0,6,,36,,32,0.00%,8.11%,48.65%,43.24%
Le modalità di esame sono state definite in modo chiaro?,,74,0,3,,25,,46,0.00%,4.05%,33.78%,62.16%
"Gli orari di svolgimento di lezioni, esercitazioni e altre eventuali attività didattiche sono rispettati?",,74,1,2,,26,,45,1.35%,2.70%,35.14%,60.81%
Il docente stimola/motiva l'interesse verso la disciplina?,,74,3,13,,40,,18,4.05%,17.57%,54.05%,24.32%
Il docente espone gli argomenti in modo chiaro?,,74,2,17,,34,,21,2.70%,22.97%,45.95%,28.38%
"Le attività didattiche integrative (esercitazioni, tutorati,laboratori, etc…), ove esistenti, sono utili all'apprendimento della materia?",,74,0,4,,19,,51,0.00%,5.41%,25.68%,68.92%
