500788,1,12,22.5
500788,2,12,21.666666666666668
500788,3,12,26.666666666666668
500788,4,12,26.666666666666668
500788,5,12,29.166666666666668
500788,6,12,21.666666666666668
500788,7,12,21.666666666666668
500788,8,12,27.5
500788,9,12,26.666666666666668
500788,10,12,27.5
500788,11,12,20.833333333333332
924209,1,65,18.923076923076923
924209,2,65,18.923076923076923
924209,3,65,16.46153846153846
924209,4,65,21.076923076923077
924209,5,65,23.846153846153847
924209,6,65,16.76923076923077
924209,7,65,17.53846153846154
924209,8,65,18.615384615384617
924209,9,65,20.46153846153846
924209,10,65,22.76923076923077
924209,11,65,20.46153846153846
537745,1,63,15.396825396825397
537745,2,63,14.126984126984127
537745,3,63,21.746031746031747
537745,4,63,22.063492063492063
537745,5,63,25.238095238095237
537745,6,63,16.984126984126984
537745,7,63,16.19047619047619
537745,8,63,19.682539682539684
537745,9,63,21.904761904761905
537745,10,63,23.333333333333332
537745,11,63,20.952380952380953
833528,1,74,22.43243243243243
833528,2,74,24.324324324324323
833528,3,74,21.756756756756758
833528,4,74,26.486486486486488
833528,5,74,25.945945945945947
833528,6,74,23.91891891891892
833528,7,74,23.91891891891892
833528,8,71,21.408450704225352
833528,9,74,25.0
833528,10,74,25.0
833528,11,74,22.56756756756757
997495,1,21,18.571428571428573
997495,2,21,17.61904761904762
997495,3,21,19.047619047619047
997495,4,21,23.80952380952381
997495,5,21,25.238095238095237
997495,6,21,14.761904761904763
997495,7,21,15.714285714285714
997495,8,21,20.0
997495,9,21,21.904761904761905
997495,10,21,23.333333333333332
997495,11,21,21.904761904761905
139994,1,126,19.126984126984127
139994,2,126,23.571428571428573
139994,3,126,23.571428571428573
139994,4,126,23.571428571428573
139994,5,126,28.015873015873016
139994,6,126,21.58730158730159
139994,7,126,21.58730158730159
139994,8,126,22.77777777777778
139994,9,126,25.873015873015873
139994,10,126,27.61904761904762
139994,11,126,22.063492063492063
488934,1,49,18.163265306122447
488934,2,49,15.306122448979592
488934,3,49,12.244897959183673
488934,4,49,19.387755102040817
488934,5,49,23.877551020408163
488934,6,49,13.061224489795919
488934,7,49,12.448979591836734
488934,8,49,13.46938775510204
488934,9,49,20.816326530612244
488934,10,49,21.224489795918366
488934,11,49,16.73469387755102
378584,1,57,21.228070175438596
378584,2,57,23.859649122807017
378584,3,57,25.614035087719298
378584,4,57,27.36842105263158
378584,5,57,28.07017543859649
378584,6,57,25.263157894736842
378584,7,57,25.964912280701753
378584,8,57,24.385964912280702
378584,9,57,26.666666666666668
378584,10,57,27.017543859649123
378584,11,57,22.80701754385965
336207,1,106,17.452830188679247
336207,2,106,21.79245283018868
336207,3,106,17.735849056603772
336207,4,106,23.962264150943398
336207,5,106,25.471698113207548
